Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"573.18606","Klebsiella pneumoniae strain WCHKP015625",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015625",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932863","GCA_003261955.1",,"QJMW00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,152,5512628,57.36226,10,203583,75,4,,5499,99.6,97.9,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:33:07.802Z","2018-07-16T09:33:07.802Z"
"573.18607","Klebsiella pneumoniae strain WCHKP015623",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015623",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932862","GCA_003261965.1",,"QJMV00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,170,5509358,57.34748,14,108494,67,4,,5501,99.4,97.7,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:33:47.119Z","2018-07-16T09:33:47.119Z"
"573.18608","Klebsiella pneumoniae strain WCHKP015592",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015592",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932860","GCA_003261975.1",,"QJMT00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,168,5503339,57.353035,14,108766,66,4,,5493,99.4,97.7,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:35:12.752Z","2018-07-16T09:35:12.752Z"
"573.18609","Klebsiella pneumoniae strain WCHKP015591",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015591",,,,"MLST.klebsiella.45",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932859","GCA_003262015.1",,"QJMS00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,238,5555498,57.23107,7,258731,72,4,,5586,99.6,97.8,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:35:20.125Z","2018-07-16T09:35:20.125Z"
"573.18610","Klebsiella pneumoniae strain WCHKP015585",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015585",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932858","GCA_003262035.1",,"QJMR00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,140,5510551,57.35829,11,170244,77,4,,5491,99.4,97.8,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:36:32.373Z","2018-07-16T09:36:32.373Z"
"573.18611","Klebsiella pneumoniae strain WCHKP015577",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015577",,,,"MLST.klebsiella.45",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932855","GCA_003262045.1",,"QJMO00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,253,5556423,57.22554,7,258674,72,3,,5586,99.6,97.8,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:37:29.574Z","2018-07-16T09:37:29.574Z"
"573.18612","Klebsiella pneumoniae strain WCHKP015584",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015584",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932857","GCA_003262055.1",,"QJMQ00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,141,5510738,57.35749,11,170244,77,4,,5490,99.4,97.8,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:37:36.534Z","2018-07-16T09:37:36.534Z"
"573.18613","Klebsiella pneumoniae strain WCHKP015574",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015574",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932854","GCA_003262095.1",,"QJMN00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,208,5677970,57.200497,17,99986,51,4,,5713,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:37:43.325Z","2018-07-16T09:37:43.325Z"
"573.18614","Klebsiella pneumoniae strain WCHKP015571",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015571",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932852","GCA_003262105.1",,"QJML00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,197,5542170,57.26997,14,129253,66,4,,5558,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:37:50.309Z","2018-07-16T09:37:50.309Z"
"573.18615","Klebsiella pneumoniae strain WCHKP015568",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015568",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932851","GCA_003262135.1",,"QJMK00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,177,5697437,57.18766,12,175912,77,4,,5728,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:38:10.950Z","2018-07-16T09:38:10.950Z"
"573.18616","Klebsiella pneumoniae strain WCHKP015566",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015566",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932850","GCA_003262145.1",,"QJMJ00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,180,5697109,57.18734,12,175912,77,4,,5730,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:38:03.975Z","2018-07-16T09:38:03.975Z"
"573.18617","Klebsiella pneumoniae strain WCHKP015565",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015565",,,,"MLST.klebsiella.45",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932849","GCA_003262165.1",,"QJMI00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,223,5549997,57.236084,7,319098,76,4,,5572,99.6,97.9,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:37:57.252Z","2018-07-16T09:37:57.252Z"
"573.18618","Klebsiella pneumoniae strain WCHKP015564",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015564",,,,"MLST.klebsiella.45",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932848","GCA_003262195.1",,"QJMH00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,251,5553173,57.222763,7,258674,72,3,,5577,99.6,97.8,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:38:18.226Z","2018-07-16T09:38:18.226Z"
"573.18619","Klebsiella pneumoniae strain WCHKP015558",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015558",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932847","GCA_003262205.1",,"QJMG00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,208,5686031,57.192177,15,105751,66,4,,5714,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:38:34.453Z","2018-07-16T09:38:34.453Z"
"573.18620","Klebsiella pneumoniae strain WCHKP015557",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015557",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932846","GCA_003262215.1",,"QJMF00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,169,5509572,57.347775,14,108766,67,4,,5494,99.6,97.9,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:38:25.175Z","2018-07-16T09:38:25.175Z"
"573.18621","Klebsiella pneumoniae strain WCHKP015524",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015524",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932843","GCA_003262255.1",,"QJMC00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,180,5696280,57.187603,12,175912,77,4,,5725,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:38:41.625Z","2018-07-16T09:38:41.625Z"
"573.18622","Klebsiella pneumoniae strain WCHKP015532",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015532",,,,"MLST.klebsiella.45",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932845","GCA_003262265.1",,"QJME00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,253,5556502,57.225643,7,258674,72,3,,5584,99.6,97.9,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:38:48.676Z","2018-07-16T09:38:48.676Z"
"573.18623","Klebsiella pneumoniae strain WCHKP015522",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015522",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932842","GCA_003262275.1",,"QJMB00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,215,5681447,57.19293,17,99986,54,4,,5708,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:39:15.851Z","2018-07-16T09:39:15.851Z"
"573.18624","Klebsiella pneumoniae strain WCHKP015520",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015520",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932841","GCA_003262285.1",,"QJMA00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,142,5517146,57.351463,11,142762,77,4,,5502,99.6,97.9,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:39:23.402Z","2018-07-16T09:39:23.402Z"
"573.18625","Klebsiella pneumoniae strain WCHKP015479",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015479",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932836","GCA_003262335.1",,"QJLV00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,121,5517181,57.339737,11,185639,77,4,,5506,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:39:30.253Z","2018-07-16T09:39:30.253Z"
"573.18626","Klebsiella pneumoniae strain WCHKP015478",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015478",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932835","GCA_003262345.1",,"QJLU00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,182,5696123,57.187214,12,175912,77,4,,5731,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:40:04.078Z","2018-07-16T09:40:04.078Z"
"573.18627","Klebsiella pneumoniae strain WCHKP015477",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015477",,,,"MLST.klebsiella.11",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932834","GCA_003262365.1",,"QJLT00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,174,5693507,57.187794,13,165491,75,4,,5716,99.6,98.2,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:39:57.001Z","2018-07-16T09:39:57.001Z"
"573.18628","Klebsiella pneumoniae strain WCHKP015475",,573,"131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","WGS","WCHKP015475",,,,"MLST.klebsiella.45",,,,,,,,,,,,,,,,"Good","2018-06-25T00:00:00Z",,,"PRJNA353728","SAMN08932833","GCA_003262375.1",,"QJLS00000000","West China Hospital, Sichuan University","WGS","Illumina HiSeq","200x","Unicycler v. 0.4.5",,,244,5559379,57.22382,7,258730,72,4,,5585,99.6,97.6,,100,,,,"2017",2017,,"China",,,,"Asia","China: Chengdu, Sichuan",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:Pure Culture","Genome sequencing and assembly of Klebsiella strains","2018-07-16T09:40:11.052Z","2018-07-16T09:40:11.052Z"
